text,label
win a free iphone click this link now,spam
hey are we still meeting at 5,ham
urgent claim your cash reward today only,spam
can you email me the slides from class,ham
limited time offer you have been selected,spam
i attached the updated project proposal,ham
customer support tried to reach you please confirm card details,spam
dont forget mom birthday dinner tonight,ham
get cheap insurance now no credit check,spam
just landed call you in 10,ham
bank alert: unusual login attempt verify now,spam
im running 10 mins late to the meeting,ham
this is not a joke you won money,spam
can you pick up eggs on the way,ham
act now double your payout instantly,spam
assignment due tonight please submit on canvas,ham
click here to unlock your prize,spam
lets grab coffee tomorrow morning,ham
last warning account will be closed unless you pay fee,spam
yo send me that tiktok,ham
update: invoice for september is attached,ham
refinance today save $$$ fast approval,spam
meeting has been moved to 3pm,ham
your netflix account is on hold verify payment now,spam
wanna play soccer later tonight,ham
preapproved credit increase tap to accept,spam
